die Anstellung;l'emploi
der Arbeitgeber;l'employeur
der Arbeitnehmer;le salarié
der Experte;l'expert
die Beschäftigung;l'occupation
die Arbeitslosigkeit;le chômage
die Bewerbung;la candidature
die Karriere;la carrière
die Entlassung;licenciement
die Kündigung;la démission
das Vorstellungsgespräch;l'entretien d'embauche
die Chance;la chance
das Bewerbungsschreiben;la lettre de candidature
der Lebenslauf;le cirriculum vitae
die Stellenanzeige;l'offre d'emploi
die Berufserfahrung;l'expérience professionnelle
der Anfänger;le débutant
die Kompetenz;la compétence
das Büro;le bureau
die Kopie;la copie
die Visitenkarte;la carte de visite
die Unterlagen;les documents
die Akte;le dossier
die Korrespondenz;la correspondance
die Notiz;la note
das Papier;le papier
das Blatt;la feuille
der Stift;le crayon
der Füller;le stylo
der Kugelschreiber;le stylo à bille
der Termin;le rendez-vous
die Liste;la liste
die Schere;les ciseaux
das Lineal;la règle
der Radiergummi;la gomme
der Notizblock;le bloc-notes
die Kartei;le fichier
die Karteikarte;la fiche
die Fotokopie;la photocopie
der Kalender;l'agenda
die Besprechung;la réunion
die Tabelle;le tableau
die Präsentation;la présentation
der Overheadprojektor;le rétroprojecteur
der Beamer;le vidéoprojecteur
der Taschenrechner;la calculatrice
der Klebstoff;la colle
die Büroklammer;le trombone
der Papierkorb;la corbeille à papier
der Locher;le perforateur
