Fisch;fish
Hund;dog
Katze;cat
Maus;mouse
Kaninchen;rabbit
Meerschweinchen;guinea pig
Ameise;ant
Fliege;fly
Schmetterling;butterfly
Spinne;spider
Hai;shark
Schildkröte;turtle
Seestern;starfish
Elefant;elephant
Ente;duck
Kamel;camel
Kuh;cow
Pferd;horse
Schaf;sheep
Schwein;pig
Vogel;bird
Fuchs;fox
Reh;deer
Wolf;wolf
Nashorn;rhinoceros
Löwe;lion
Hase;hare
Giraffe;giraffe
Flusspferd;hippopotamus
Faultier;sloth
Eichhörnchen;squirrel
Bär;bear
Strauß;ostrich
Spatz;sparrow
Schwan;swan
Pinguin;penguin
Papagei;parrot
Krähe;crow
Eule;owl
Huhn;chicken
Thunfisch;tuna
Seepferdchen;sea horse
Qualle;jellyfish
Delfin;dolphin
Wal;wale
Wespe;wasp
Raupe;caterpillar
Laus;louse
Kakerlake;cockroach
Hamster;hamster
