Verkehr;traffic
Auto;car
Motorrad;motorcycle
Roller;scooter
Taxi;taxi
fahren;drive
Führerschein;driving license
Fahrrad;bicycle
Strecke;route
sich befinden;to be located
vor(wärts) fahren;to drive forwards
rückwärts fahren;to drive backwards
wenden;to turn
Ampel;traffic lights
Verkehrsschild;traffic sign
(an)halten;to stop
über die Strasse gehen;to cross the road
parken;to park
Benzin;petrol
Diesel;diesel
Tankstelle;petrol station
verbrauchen;to consume
Reifen;tire
Fahrzeug;vehicle
Lastwagen;lorry
Wohnwagen;caravan
Abkürzung;shortcut
Umweg;detour
Umleitung;diversion
Stau;traffic jam
blockieren;to block
Kurve;curve
abbiegen;to turn
Bremse;brake
bremsen;to brake
blinken;to signal
Rad;wheel
Navi;satnav
Panne haben;to break down
Einbahnstrasse;one-way road
Autokennzeichen;license number
Nummernschild;license plate
Geschwindigkeitsüberschreitung;speeding
Strafzettel;fine
Sicherheitsgurt;seat belt
vorgeschrieben;mandatory
einparken;to park
Rastplatz;parking space
Maut;toll
E-Bike;e-Bike
